popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
69,0.694,0.684,7,-5.276,1,0.0599,0.122,0,0.113,0.334,100.951,152137,4
2,0.817,0.84,2,-8.598,1,0.0923,0.00511,0.000345,0.288,0.89,104.295,237907,4
38,0.694,0.613,8,-5.632,1,0.262,0.00945,0.000121,0.342,0.577,81.98,238533,4
22,0.698,0.627,11,-5.968,0,0.404,0.565,0,0.106,0.488,184.034,192059,4
18,0.883,0.972,7,-2.231,1,0.111,0.194,0,0.316,0.961,115.974,216640,4
13,0.786,0.475,11,-9.682,0,0.356,0.674,0,0.113,0.61,93.113,206509,4
9,0.771,0.756,6,-5.005,0,0.3,0.0547,0,0.0803,0.867,91.138,276992,4
1,0.817,0.855,11,-5.169,0,0.229,0.123,0,0.0332,0.654,120.001,291082,4
0,0.786,0.41,10,-17.137,0,0.3,0.00964,0.0359,0.0727,0.569,177.433,266560,4
2,0.953,0.744,6,-10.265,0,0.316,0.00343,8.72E-06,0.0355,0.774,118.996,302720,4
0,0.821,0.561,1,-9.873,0,0.261,0.015,0,0.296,0.594,90.926,297093,4
29,0.776,0.742,5,-4.289,0,0.0704,0.577,2.42E-05,0.0899,0.652,134.025,247227,4
20,0.761,0.81,2,-7.551,1,0.173,0.217,0,0.363,0.677,101.796,272360,4
8,0.435,0.767,10,-5.061,0,0.362,0.0889,0,0.303,0.462,160.169,182640,4
25,0.867,0.432,7,-7.466,1,0.188,0.0119,0,0.069,0.88,94.017,225319,4
60,0.593,0.776,0,-4.343,0,0.0325,0.216,2.94E-05,0.329,0.634,81.992,215457,4
12,0.768,0.556,1,-7.146,0,0.0739,0.0942,1.46E-05,0.107,0.239,155.075,237179,4
0,0.606,0.658,8,-6.872,1,0.0426,0.217,0,0.235,0.246,172.037,194361,4
10,0.847,0.72,7,-8.812,1,0.32,0.194,0,0.155,0.699,93.983,343640,4
44,0.645,0.647,7,-5.258,1,0.114,0.0467,0.0024,0.353,0.733,82.947,253333,4
3,0.789,0.66,8,-8.554,1,0.106,0.325,0,0.351,0.897,90.006,215947,4
13,0.888,0.622,1,-3.875,1,0.213,0.16,0,0.101,0.664,91.977,266707,4
8,0.677,0.868,7,-5.701,1,0.209,0.414,0,0.183,0.532,91.622,195000,4
15,0.757,0.685,1,-6.246,1,0.431,0.218,0,0.0893,0.241,177.991,229926,4
11,0.886,0.469,1,-10.486,1,0.393,0.0624,2.85E-06,0.144,0.687,93.522,302000,4
11,0.65,0.933,11,-4.684,0,0.0473,0.000959,0.727,0.103,0.858,128.876,441679,4
10,0.568,0.783,6,-6.829,0,0.232,0.0737,0,0.123,0.309,86.908,342853,4
36,0.896,0.619,8,-10.453,0,0.23,0.0236,0.211,0.0999,0.765,102.233,208200,4
1,0.706,0.609,9,-9.214,1,0.33,0.0891,0,0.137,0.536,110.94,166837,4
14,0.896,0.611,10,-8.708,0,0.0838,0.0081,0.000111,0.0449,0.874,91.042,252082,4
0,0.792,0.707,10,-7.253,1,0.0647,0.00714,0.000376,0.101,0.922,119.987,226331,4
38,0.591,0.95,11,-4.691,0,0.25,0.411,0,0.155,0.654,91.546,251103,4
9,0.649,0.764,1,-7.401,1,0.316,0.0415,0,0.0572,0.51,91.743,201773,4
27,0.907,0.613,6,-6.015,0,0.336,0.128,0,0.068,0.71,90.044,227787,4
63,0.723,0.802,1,-7.063,1,0.292,0.361,0,0.339,0.515,132.972,243429,4
19,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,163320,4
41,0.772,0.502,5,-8.103,0,0.0875,0.0489,0,0.325,0.366,128.038,300932,4
7,0.915,0.919,1,-5.25,1,0.493,0.00794,0,0.151,0.764,105.009,44360,4
2,0.75,0.904,8,-4.419,0,0.194,0.291,0,0.454,0.718,102.983,155723,4
25,0.717,0.895,11,-6.714,0,0.336,0.36,0.00245,0.589,0.747,96.419,301280,4
15,0.522,0.836,5,-4.653,0,0.048,0.538,0.00057,0.107,0.508,140.022,164532,4
11,0.597,0.636,10,-6.236,1,0.374,0.145,0,0.33,0.531,88.703,336562,4
20,0.74,0.841,6,-2.891,0,0.237,0.0232,0,0.111,0.673,83.007,248627,4
7,0.434,0.701,10,-2.8,0,0.206,0.294,0,0.0989,0.769,91.275,222213,4
12,0.824,0.41,5,-11.672,0,0.346,0.109,0,0.138,0.829,87.71,255178,4
5,0.881,0.653,1,-4.819,1,0.244,0.177,0,0.351,0.811,90.509,206280,4
50,0.833,0.705,6,-5.82,1,0.223,0.0531,1.00E-06,0.368,0.379,95.03,250493,4
2,0.695,0.873,4,-3.243,0,0.251,0.8,1.40E-05,0.824,0.974,96.128,92893,4
20,0.713,0.67,10,-3.145,1,0.091,0.0232,0,0.226,0.352,92.998,207480,4
17,0.735,0.784,11,-4.758,0,0.295,0.0201,0,0.65,0.763,170.535,332643,4
3,0.652,0.931,2,-4.885,0,0.266,0.127,0,0.224,0.554,144.046,207037,4
35,0.633,0.898,0,-4.507,1,0.0425,0.0127,0,0.182,0.688,127.971,220813,4
0,0.717,0.315,1,-12.831,1,0.122,0.209,0,0.113,0.0727,127.976,180048,4
26,0.607,0.579,6,-6.547,1,0.293,0.04,0,0.142,0.404,83.444,292627,4
34,0.785,0.537,7,-6.803,1,0.152,0.0241,0,0.0944,0.551,92.81,278200,4
36,0.86,0.826,2,-4.07,1,0.319,0.112,0,0.646,0.452,103.964,315227,4
3,0.888,0.544,9,-6.882,0,0.238,0.0282,0,0.211,0.868,106.07,193698,4
21,0.794,0.627,10,-7.489,1,0.202,0.744,4.35E-06,0.179,0.891,139.942,185736,4
14,0.731,0.887,10,-7.554,0,0.245,0.0881,0,0.707,0.435,126.972,257547,4
5,0.618,0.436,6,-11.785,0,0.0622,0.149,0,0.0654,0.851,140.006,193142,4
38,0.95,0.738,10,-9.504,0,0.323,0.113,0.000209,0.112,0.568,104.998,188735,4
48,0.583,0.643,9,-7.486,0,0.355,0.171,0,0.0395,0.7,195.685,244467,4
6,0.891,0.675,2,-6.892,1,0.152,0.111,0,0.275,0.562,127.012,217705,4
0,0.761,0.57,10,-14.742,0,0.129,0.184,0.00347,0.138,0.851,140.101,246837,4
0,0.804,0.507,10,-9.131,0,0.24,0.0138,0,0.1,0.759,92.369,197400,4
0,0.782,0.51,4,-5.724,0,0.0419,0.143,0,0.115,0.118,99.993,143375,4
18,0.593,0.776,0,-4.343,0,0.0325,0.216,2.94E-05,0.329,0.634,81.992,215457,4
0,0.66,0.407,9,-11.636,0,0.133,0.547,0,0.185,0.605,80.013,211093,4
6,0.782,0.832,1,-4.671,1,0.3,0.0347,0,0.0593,0.816,92.625,177667,4
39,0.922,0.75,9,-6.625,1,0.0419,0.00682,0.000281,0.0543,0.651,99.043,190867,4
6,0.76,0.683,2,-10.864,1,0.166,0.156,0,0.34,0.658,101.796,286960,4
20,0.631,0.747,2,-6.118,1,0.421,0.105,3.10E-06,0.13,0.657,94.216,334200,4
0,0.842,0.609,7,-11.129,1,0.0555,0.000289,0.462,0.0321,0.625,119.856,322867,4
17,0.725,0.813,7,-3.912,1,0.316,0.253,0,0.217,0.641,107.096,255074,5
0,0.704,0.701,2,-8.031,1,0.46,0.549,0,0.664,0.618,92.032,217507,4
6,0.687,0.815,0,-4.761,1,0.322,0.263,0,0.151,0.587,176.089,260307,4
29,0.598,0.457,9,-6.081,0,0.0602,0.661,0.000331,0.146,0.225,146.052,110886,4
34,0.443,0.73,10,-6.74,0,0.438,0.523,0,0.235,0.448,86.592,292973,4
43,0.564,0.776,6,-9.778,1,0.0851,0.00146,0.351,0.157,0.771,113.532,244160,4
13,0.703,0.463,0,-7.328,0,0.203,0.473,0.000415,0.107,0.774,90.503,210800,4
23,0.797,0.87,11,-4.214,1,0.251,0.13,0,0.0595,0.785,81.009,244040,4
47,0.811,0.587,8,-10.091,1,0.0872,0.0829,0,0.173,0.758,110.027,212727,4
8,0.59,0.765,7,-7.151,0,0.263,0.0172,0,0.13,0.483,80.135,251716,4
8,0.825,0.867,7,-4.499,1,0.305,0.266,0,0.0811,0.71,94.819,240840,4
12,0.451,0.632,8,-7.98,0,0.297,0.0114,0,0.198,0.234,132.89,232160,4
6,0.49,0.44,10,-7.76,1,0.353,0.00806,0.0011,0.186,0.0909,173.112,227533,4
30,0.679,0.72,4,-6.62,0,0.337,0.0156,0,0.352,0.518,94.231,247707,4
