"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"02kDW379Yfd5PzW5A6vuGt","Lemonade",3.22986882947319,83.5,0.799,0.66,1,-6.153,0,0.079,0.256,0,0.111,0.471,140.04,195429,4,4,2,3726178
"02kMCCU0XtQf0Ds7OIAoFP","Non sapere mai dove si va",3.09218264302029,72,0.549,0.409,7,-9.533,1,0.283,0.696,0,0.0961,0.492,79.992,182600,4,1,1,2572169
"02rdXe0KhMe8p6ZHzYtuw0","lost souls (with Brent Faiyaz)",1.55850823424778,83,0.649,0.347,1,-7.67,0,0.404,0.485,3.24e-05,0.154,0.176,169.994,269728,4,2,2,2028872
"02shCNmb6IvgB5jLqKjtkK","Nevada",3.08159397619466,66.5,0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,208562,4,2,2,391222
"030mot3ZKR3oskfMsqDB2R","Have Yourself A Merry Little Christmas",8.54571543882327,70,0.156,0.184,6,-14.82,1,0.0393,0.97,0.00458,0.26,0.107,180.887,162333,3,1,1,194473
"034jIC4c14eY3Pgz4qQI6M","W",0.392822876685734,60,0.605,0.808,5,-5.318,0,0.0468,9.49e-05,0.00357,0.0689,0.545,117.982,206815,4,1,1,636312
"03NqHNdG3Ur6kciQWK6e8V","Oh Na Na",2.96526690827423,87.66666667,0.744,0.862,0,-3.446,1,0.0622,0.0715,5.58e-06,0.0889,0.688,115.021,203653,4,3,3,24836906
"03eJ2DclFWXYU8GWgANdmZ","bad vibes forever",2.14821646851331,85.33333333,0.8,0.526,8,-5.153,1,0.0716,0.334,0.00174,0.0571,0.746,129.874,150475,4,3,2,33466773
"03jhnLcIT8C4DhXnNecOZv","We Will Rock You",1.4096264013063,90,0.69,0.44,11,-8.528,0,0.0768,0.654,0,0.538,0.494,81.234,121707,4,1,1,38849077
"042Sl6Mn83JHyLEqdK7uI0","Your Power",3.60365135735385,93,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,245897,4,1,1,54730757
"042Yt1xKxDHPBmGokgf1jl","Do They Know It's Christmas? - 2004 Version",5.78541012125144,47,0.327,0.781,0,-6.773,1,0.0462,0.0829,0,0.673,0.273,128.068,305533,4,1,1,5118
"0437dcvkxlUzG19tsBPeiE","Q",1.45384669316894,20,0.502,0.93,6,-2.564,1,0.0451,0.00858,0.000565,0.335,0.527,120.018,277093,4,1,1,3595
"044yVDQ9PFAkzcsUgbIFom","O",3.5684588627633,60,0.619,0.834,10,-6.481,1,0.0405,0.0768,0.878,0.134,0.684,112.911,136589,4,1,1,146338
"04DYwFIKeq2Bkn9aqSI9PC","Adeste Fideles",3.55971820582753,87,0.206,0.253,4,-12.639,1,0.033,0.981,0.00418,0.295,0.432,165.234,190440,5,1,1,385398
"04DlOGmwGLPpoBDNQztW91","This Christmas",5.89229670799507,72,0.634,0.645,5,-9.2,1,0.0376,0.292,0,0.246,0.677,93.047,231173,4,1,1,453747
"04JUNoqES9Z2JdRU63H2K4","Jingle Bell Rock",7.05280690738438,55,0.665,0.544,0,-12.563,1,0.0396,0.699,0,0.538,0.92,151.201,106933,4,1,1,159985
"04KNY2l5KBTuF6Lj1hyDH7","Tu Si A Droga Pe Me (feat. MV Killa)",1.55299383943834,66.5,0.691,0.643,8,-8.678,1,0.077,0.625,1.35e-06,0.3,0.225,97.969,176587,4,2,1,175706
"04RKo5Xl6wiCRJD2cXz0Su","Vivere",0.515621965119154,73,0.642,0.844,6,-5.195,1,0.378,0.131,0,0.612,0.908,120.004,160061,3,1,1,1814554
"04UtYEP1Jc0GRxbvH1B6Nk","TesTa TrA Le NuVoLE, pT. 2 – prod. Yanomi",2.47476911080651,61,0.568,0.512,3,-7.809,1,0.0735,0.0236,1.16e-05,0.117,0.604,118.947,180000,4,2,2,430154
"04oe2NVAfBP4mnoh5xhAXp","S",-0.505316669803312,8,0.208,0.188,9,-16.689,0,0.0351,0.951,0.798,0.221,0.0897,81.436,60029,4,1,1,50
"04uYriCrZIRilkJwWZ4yIt","Tutto quello che ho",0.941687519234948,62,0.54,0.787,7,-5.882,1,0.143,0.282,0,0.316,0.747,88.967,207667,4,1,1,745998
