artist,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres
4k6hMjEI3XFfMcRLCa9yd3,55.6,56.9,0.7942,0.669,6.2,-5.1856,0.8,0.1604,0.34548,0,0.2214,0.6802,126.3064,173030,4,2.8,1.4
4k9HOB4zrVAEasP7nm31F7,10,24,0.461,0.471,2,-5.488,1,0.0275,0.0208,1,0.124,0.162,103.018,286088,4,1,1
4kAf149Iextkiu3MpCX4ut,52.66666667,51,0.608,0.658,7,-8.343333333,0.666666667,0.092033333,0.1156,0,0.088366667,0.457333333,122.655,213931.6667,4,1.666666667,1
4kBCXTJBl1aY9pDHONsjfr,69,66.75,0.535,0.402,9,-10.884,1,0.031,0.000748,1,0.0812,0.0862,142.847,214395,4,4,2
4kCZ5nyurc9eIqLJfUcW0Y,19,45,0.132,0.117,10,-15.648,1,0.0352,0.401,1,0.414,0.122,145.375,184853,4,2,1
4ksCwAPgMi8rkQwwR3nMos,65,58,0.669,0.702,4,-10.616,0,0.0582,0.713,1,0.119,0.793,105.232,288693,4,1,1
4ktBrNjagCGftyuBLJkATq,80,77.33333333,0.81,0.571,10,-7.189,0,0.085,0.0624,0,0.094,0.771,125.994,179375,4,3,2
4kTOsBwxhA2Sn4PSs7PqnN,60,66.52412281,0.662052632,0.711052632,6,-5.934684211,0.368421053,0.172505263,0.214784211,0,0.162984211,0.532473684,137.0745263,180105.7895,4.052631579,3,2.105263158
4KVkkOO0DSrpPzla5vEnsE,55,40,0.78,0.857,0,-4.587,0,0.154,0.523,0,0.127,0.841,100.041,193829,4,2,2
4KWTAlx2RvbpseOGMEmROg,80,76,0.5665,0.5895,5.5,-7.751,0.5,0.0275,0.397,1,0.10835,0.4845,109.97,294347,3.5,1,1
4kYGAK2zu9EAomwj3hXkXy,72.25,74.125,0.6095,0.645,2,-5.994,0.75,0.066725,0.33825,0,0.140275,0.465,120.29425,197100.25,4,2,1.75
4kYSro6naA4h99UJvo89HB,78.28571429,86.07142857,0.859428571,0.666285714,4.571428571,-5.865857143,0.571428571,0.184142857,0.228657143,0,0.133557143,0.559,122.8207143,201915.5714,4,2.428571429,1.285714286
4kzy5r1zhu4jC0LhQ15nti,40.88888889,45.56111111,0.739555556,0.643888889,3,-6.648555556,0.444444444,0.193588889,0.228565444,0,0.153244444,0.567222222,115.1004444,166780.7778,4,2.777777778,2.111111111
4l0PmbNvFq3m5JaUuAPbcB,54.375,59.85416667,0.69725,0.86525,2.75,-5.566375,0.5,0.0873125,0.0563925,0,0.2471375,0.622875,118.00675,239081.375,4,1.75,1.25
4L2dV3zY7RmkeiNO035Fi0,65,61.5,0.761,0.939,11,-3.34,0,0.0729,0.0594,1,0.0843,0.88,119.981,170022,4,2,2
4L5SLCIDWPPNGzrLraYCOS,67,63,0.686,0.857,11,-3.328,0,0.0891,0.402,0,0.493,0.901,124.037,239372,4,1,1
4LAGemASxODFta2tWSAucy,45,49,0.284,0.378,9,-14.026,0,0.0342,0.0454,1,0.406,0.255,144.031,367348,4,1,1
