popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
65,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840
60,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920
54,0.627,0.905,4,-9.921,0,0.037,0.0331,0.0199,0.255,0.644,113.247,241987
64,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,119360
41,0.715,0.576,7,-7.06,1,0.0696,0.562,0.000103,0.401,0.795,129.156,391400
61,0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,286693
79,0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,248440
81,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707
61,0.917,0.692,2,-11.665,1,0.244,0.185,1.09E-05,0.0686,0.819,111.782,235840
79,0.723,0.86,11,-4.357,1,0.203,0.271,4.56E-06,0.598,0.667,126.979,200013
64,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133
76,0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,304600
63,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97E-05,0.299,0.586,89.846,341533
55,0.763,0.541,9,-8.843,0,0.329,0.466,0,0.0693,0.885,90.032,217467
70,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,408173
62,0.548,0.728,1,-6.631,0,0.0367,0.424,0,0.0525,0.649,112.332,160373
75,0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,243493
69,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,176333
82,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15E-05,0.0344,0.928,114.988,269667
76,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907
74,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,255133
48,0.386,0.711,2,-12.448,1,0.0361,0.00341,0.000118,0.084,0.771,160.193,188133
40,0.556,0.729,2,-10.282,1,0.0327,0.118,0.00338,0.259,0.558,115.093,365600
55,0.708,0.627,1,-11.155,1,0.0614,0.0113,3.13E-05,0.338,0.764,107.246,342360
56,0.661,0.66,7,-9.061,1,0.0373,0.0257,0.00977,0.256,0.814,120.617,188840
56,0.315,0.64,4,-9.256,0,0.0339,0.329,0.341,0.0879,0.583,97.968,317438
78,0.413,0.881,11,-5.541,0,0.0367,5.99E-05,0.000308,0.0805,0.364,158.066,250547
73,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85E-05,0.0996,0.371,136.243,221120
75,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48E-05,0.0924,0.338,118.223,547107
15,0.842,0.996,11,-3.168,0,0.278,0.411,7.77E-05,0.355,0.587,102.953,39200
72,0.681,0.504,7,-11.099,1,0.0284,0.669,0,0.142,0.705,89.994,172627
75,0.654,0.929,1,-5.906,1,0.0998,0.0468,0,0.0539,0.902,144.774,168840
63,0.825,0.811,10,-9.226,0,0.0524,0.258,0.000276,0.132,0.789,104.28,285253
75,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,254560
75,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613
46,0.47,0.728,7,-12.031,1,0.0942,0.117,0.000886,0.0426,0.641,121.346,617720
63,0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,400116
73,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16E-06,0.299,0.685,127.568,220627
48,0.795,0.824,4,-12.23,0,0.238,0.0668,0,0.0728,0.794,110.202,226173
60,0.557,0.32,1,-10.792,0,0.0438,0.739,3.99E-05,0.112,0.377,176.647,204533
54,0.915,0.807,6,-9.636,0,0.13,0.011,0.000122,0.201,0.708,127.35,319960
58,0.546,0.867,11,-4.235,0,0.0354,0.0256,0.000229,0.221,0.189,127.988,322040
42,0.85,0.66,3,-6.323,1,0.193,0.386,0.00235,0.0449,0.926,115.076,167187
82,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533
73,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77E-05,0.185,0.927,104.023,263387
79,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267
64,0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,185960
72,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,268867
53,0.429,0.914,7,-9.594,1,0.0505,0.0321,9.26E-05,0.436,0.685,155.588,221507
70,0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,241040
67,0.739,0.917,5,-4.459,1,0.0504,0.177,0.119,0.0834,0.749,110.163,325267
80,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390
82,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,326933
59,0.709,0.446,0,-9.904,1,0.037,0.716,2.39E-05,0.11,0.843,140.993,219267
45,0.488,0.714,9,-9.835,1,0.0432,2.43E-05,0.6,0.0672,0.726,157.604,235653
41,0.593,0.78,9,-6.281,1,0.0253,0.000125,0.000164,0.166,0.507,109.529,221173
61,0.838,0.304,4,-9.975,0,0.0626,0.16,0.0267,0.0828,0.221,112.618,430800
83,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973
61,0.476,0.764,9,-6.454,1,0.032,0.00325,0.112,0.138,0.545,171.903,448307
